"","축제명","축제시작일자","축제종료일자","주소","LON","LAT","gigan","bigo","mm","yy","day_week"
"346","영천보현산별빛축제",2019-06-14,2019-06-16,"경상북도",36.14024846,128.9967122,3,"50일미만",6,2019,"금"
"347","정월대보름행사",2019-02-19,2019-02-19,"경상북도",35.96656577,128.9312498,1,"1일",2,2019,"화"
"348","포항국제불빛축제",2019-05-31,2019-06-02,"경상북도",36.017859,129.374454,3,"50일미만",5,2019,"금"
"349","포항해병대문화축제",2019-04-27,2019-04-28,"경상북도",35.96902317,129.4127411,2,"50일미만",4,2019,"토"
"350","포항운하축제",2019-09-21,2019-09-22,"경상북도",36.02387158,129.3773906,2,"50일미만",9,2019,"토"
"351","포항 연날리기 한마당",2019-09-01,2019-09-30,"경상북도",36.010908,129.368551,30,"50일미만",9,2019,"일"
"352","호미곶한민족해맞이축전",2019-12-31,2020-01-01,"경상북도",36.07675839,129.5660588,2,"50일미만",12,2019,"화"
"353","포항시 대학연합축제(POP)",2019-10-01,2019-10-30,"경상북도",36.03793871,129.3636807,30,"50일미만",10,2019,"화"
"354","금산인삼축제",2019-09-27,2019-10-06,"충청남도",36.1000256,127.5007304,10,"50일미만",9,2019,"금"
"355","비단고을산꽃축제",2019-04-13,2019-04-14,"충청남도",36.19093401,127.5710874,2,"50일미만",4,2019,"토"
"356","금강여울축제",2019-07-12,2019-07-13,"충청남도",36.0751568,127.5683215,2,"50일미만",7,2019,"금"
"357","금산천봄꽃축제",2019-04-06,2019-04-06,"충청남도",36.1020211,127.4843123,1,"1일",4,2019,"토"
"358","남일면홍도화축제",2019-04-20,2019-04-21,"충청남도",36.0171101,127.5180376,2,"50일미만",4,2019,"토"
"359","금천하모니벚꽃축제 2019",2019-04-05,2019-04-06,"서울특별시",37.45706511,126.8960352,2,"50일미만",4,2019,"금"
"360","정조대왕 능행차 공동재현",2019-10-05,2019-10-05,"서울특별시",37.4510151,126.9075078,1,"1일",10,2019,"토"
"361","여수영취산진달래체험행사",2019-03-29,2019-03-31,"전라남도",34.8210752,127.7003341,3,"50일미만",3,2019,"금"
"362","여수거북선축제",2019-05-03,2019-05-05,"전라남도",34.73922445,127.7365808,3,"50일미만",5,2019,"금"
"363","여수여자만갯벌노을체험행사",2019-10-13,2019-10-14,"전라남도",34.7902433,127.5680089,2,"50일미만",10,2019,"일"
"364","거문도백도은빛바다체험행사",2019-08-02,2019-08-04,"전라남도",34.0256376,127.311945,3,"50일미만",8,2019,"금"
"365","여수밤바다 불꽃축제",2019-09-08,2019-09-08,"전라남도",34.7388016,127.7362426,1,"1일",9,2019,"일"
"366","여수향일암일출기원한마당",2019-12-31,2020-01-01,"전라남도",34.59379448,127.8029861,2,"50일미만",12,2019,"화"
"367","여수동동북축제",2019-11-10,2019-11-11,"전라남도",34.756371,127.658676,2,"50일미만",11,2019,"일"
"368","청년거리문화축제",2019-03-01,2019-12-31,"전라남도",34.7585755,127.6636144,306,"50일이상",3,2019,"금"
"369","여수마칭페스티벌",2019-10-26,2019-10-27,"전라남도",34.73922445,127.7365808,2,"50일미만",10,2019,"토"
"370","제 10회서면우리문화축제",2018-04-28,2018-04-29,"부산광역시",35.16545561,129.0558558,2,"50일미만",4,2018,"토"
"371","제9회 부산진구 북페스티벌",2019-09-20,2019-09-20,"부산광역시",35.16545561,129.0558558,1,"1일",9,2019,"금"
"372","서면메디컬스트리트 축제",2019-11-01,2019-11-02,"부산광역시",35.1579588,129.0566547,2,"50일미만",11,2019,"금"
"373","전포카페거리축제",2019-10-19,2019-10-20,"부산광역시",35.1570356,129.0630291,2,"50일미만",10,2019,"토"
"374","2019 순천 푸드앤아트 페스티벌",2019-09-27,2019-09-29,"전라남도",34.9666776,127.4860721,3,"50일미만",9,2019,"금"
"375","감천문화마을 골목축제",2019-04-26,2019-04-28,"부산광역시",35.0956104,129.0075299,3,"50일미만",4,2019,"금"
